,Indian_states,x_cor,y_cor
0,Andhra Pradesh,-89,-150
1,Arunachal Pradesh,212,160
2,Assam,175,117
3,Bihar,55,95
4,Chhattisgarh,-34,-4
5,Goa,-198,-137
6,Gujarat,-248,36
7,Haryana,-140,169
8,Himachal Pradesh,-123,235
9,Jharkhand,33,50
10,Karnataka,-166,-149
11,Kerala,-154,-241
12,Madhya Pradesh,-128,39
13,Maharashtra,-180,-42
14,Manipur,215,84
15,Meghalaya,153,96
16,Mizoram,203,49
17,Nagaland,233,113
18,Odisha,16,-20
19,Punjab,-157,205
20,Rajasthan,-211,126
21,Sikkim,103,140
22,Tamil Nadu,-105,-232
23,Telangana,-93,-80
24,Tripura,169,60
25,Uttarakhand,-88,195
26,Uttar Pradesh,-80,131
27,West Bengal,92,39
28,Ladakh,-112,304
29,Jammu & Kashmir,-172,282
30,Puducherry,-53,-215
31,Lakshadweep,-275,-287
32,Andaman & Nicobar Islands,197,-193
33,Dadra & Nagar Haveli & Daman & Diu,-224,-30
34,Chandigarh,-127,186
35,Delhi,-121,157
